Year,Month,Volumen,ElectricidadMWh,ElectricidadTarifa,ElectricidadPesos,GasNaturalMWh,GasNaturalTarifa,GasNaturalPesos,AguaM3,AguaTarifa,AguaPesos
2022,Jan,1504.4204,3841.3575093500003,2.269133996458622,8716554.917017704,5562.500206819575,515.0,2864687.6065120813,3383.0,25.53,86367.99
2022,Feb,1554.4146,4211.978158551999,2.1250586784589327,8950700.739310399,5556.471181627033,633.92,3522358.2114570085,3711.6612507435893,25.53,94758.71173148384
2022,Mar,1419.3353,4296.616287416365,2.21,9495521.995190166,5504.110726558038,472.22,2599151.1672952366,3753.0,25.53,95814.09000000001
2022,Apr,985.2887000000001,3259.6299,2.2334879881302134,7280344.227400088,4088.65240458206,535.08,2187756.128643769,3539.0,25.53,90350.67
2022,May,1602.4784,4468.9809270000005,2.12,9474239.565240001,5668.43150477273,650.94,3689808.803716761,3687.0,25.53,94129.11
2022,Jun,1828.7628,4808.624,2.09,10050024.159999998,6630.089229304152,781.43,5180950.626455143,3970.8650865026602,25.53,101376.18565841293
2022,Jul,1826.2829000000002,5056.7352641023235,2.12,10720278.759896927,6420.600572728534,590.11,3788860.603972835,4923.8137623249995,25.53,125704.96535215725
2022,Aug,1737.7721999999999,4760.7729,1.93,9188291.696999999,6390.0,738.02,4715947.8,4339.0,25.53,110774.67
2022,Sep,1523.0851000000002,4253.5201675390335,2.18,9272673.965235094,6014.44,763.0,4589017.72,4103.0,25.53,104749.59000000001
2022,Oct,1884.3419999999999,3871.663049588141,2.11,8169209.034630977,6769.34411771209,512.0,3465904.1882685903,4876.418495599974,25.53,124494.96419266735
2022,Nov,1710.2683,4648.22540930738,1.93,8971075.039963244,6867.49676359219,454.3811221462209,3120460.88577656,4687.213830156,25.53,119664.56908388268
2022,Dec,667.9422999999999,2483.0779654194025,1.93,4792340.473259446,3341.721768884436,797.1002208005436,2663687.1598317674,3074.752613139189,25.53,78498.4342134435
2023,Jan,1432.8011000000001,4169.112755779141,2.16,9005283.552482944,6342.4570449660005,433.18,2747425.542738372,4957.0,28.1,139291.7
2023,Feb,1629.7383999999997,4230.327483634385,2.02,8545261.516941458,6223.29532876712,314.13,1954923.7616256154,4729.41838706207,28.1,132896.65667644417
2023,Mar,1899.2208,4876.885948342606,1.96,9558696.458751507,6899.086481938883,273.9,1889659.78740306,5304.648049380482,28.1,149060.61018759155
2023,Apr,1426.2815,4279.720633490621,2.0,8559441.266981242,6098.440522307164,249.9,1524000.2865245605,4902.8413689609,28.1,137769.8424678013
2023,May,1648.5848999999998,4668.8104,1.914,8936103.105600001,6521.404045386667,256.64,1673653.1342080343,4859.0,28.1,136537.9
2023,Jun,1599.6626999999999,4635.8220078538025,1.93,8947136.475157838,6252.961520353041,290.2,1814609.4332064525,4622.0,28.1,129878.20000000001
2023,Jul,1536.1174999999998,4585.100828,1.9,8711691.5732,6393.98,301.45,1927465.2709999997,4009.0,28.1,112652.90000000001
2023,Aug,1078.2572,3382.882411642169,1.91,6461305.406236541,4671.4955187841,323.43,1510901.7956403415,3430.2895311422267,28.12,96459.74161571942
2023,Sep,1427.8459,4311.874271304498,1.91,8235679.85819159,5770.399481465509,313.91,1811386.101226838,3838.8525324704556,28.12,107948.53321306921
2023,Oct,1245.3538,3960.6667933059284,1.91,7564873.575214323,5166.161546312853,335.95,1735571.971483803,3955.3650558236004,28.12,111224.86536975965
2023,Nov,1329.7782,4035.4551129122538,1.96,7909492.021308017,5583.587246420896,336.94,1881333.8868090566,3998.6228829012152,28.12,112441.27546718217
2023,Dec,1495.8104,4248.298147328241,2.0,8496596.294656482,6000.309650027752,545.0,3270168.759265125,4707.329434404171,28.12,132370.1036954453
2024,Jan,709.1465000000001,3207.616311920928,2.1169179470410016,6790260.53792688,3797.0324399613637,368.9370914193021,1400866.1044240813,4776.498924012296,29.73,142005.31301088555
2024,Feb,1662.7693000000002,4376.677065076051,2.112527341541917,9245849.965072589,6749.381064825237,308.2856877216089,2080737.5832648533,5406.77620224515,29.73,160743.45649274832
2024,Mar,1448.4102,4193.042640239998,2.0666487394938033,8665546.28709576,6073.230528039889,250.96363143381603,1524159.9878516025,5865.9918761028175,29.73,174395.93847653677
2024,Apr,1622.9261000000001,4252.4467909726545,2.0807132742456744,8848122.486000223,6240.455889792462,215.55571425953096,1345165.926629311,5545.727323968698,29.73,164874.47334158942
2024,May,1486.4559,4355.931813491699,2.096941384460932,9134133.687600702,6031.799611133047,252.655497322846,1523967.330502569,4888.453977855778,29.73,145333.73676165228
2024,Jun,1467.5683,4428.029116870939,2.2552546033528618,9986333.049603693,6426.561165395682,308.08492153350716,1979926.592371213,4888.453977855778,29.73,145333.73676165228
2024,Jul,1372.0024,4260.2760401662235,2.2049608409354953,9393741.840142258,5754.463390713394,335.97079885902883,1933331.6623830148,3430.6287091299505,29.73,101992.59152243343
2024,Aug,1203.6871999999998,3786.5632086,2.3071664858392675,8736231.731393924,4946.97,318.0899797994455,1573581.587368463,3894.09,29.73,115771.2957
2024,Sep,1491.3255,4128.79106165364,2.3671179148546315,9773335.288732005,5806.553855425602,286.94364971153067,1666153.7555223817,4567.70727270914,29.73,135797.93721764273
