MOTORES NORTE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Volumen,"24,928","33,781","38,487","31,086","34,711","37,216","36,095","34,790","40,157","37,265","32,887","19,537","28,868","38,186","42,848","36,630","38,867","28,474","28,689","39,365","35,587","33,716","28,702","17,632","27,276","36,114","32,534","34,431","31,986","26,682","29,833","41,057","35,688","37,844","36,720","17,519","30,101","27,081","29,478","29,071","32,585","33,080","34,338","33,705","31,692","37,049","32,821","24,579"
Electricity (MWHr),"4,887.67","4,928.97","5,343.61","4,890.49","5,495.46","5,825.30","5,789.09","5,620.22","5,526.57","4,472.02","4,826.00","2,712.05","5,021.13","5,178.10","6,060.16","5,506.88","5,688.90","4,576.09","4,846.31","5,739.10","5,382.32","5,409.49","4,534.00","2,853.78","4,938.20","5,085.07","5,123.25","5,262.66","4,716.51","4,108.99","4,861.75","5,479.84","5,089.11","5,292.91","4,972.02","2,681.29","4,902.00","4,200.94","4,514.82","4,665.07","4,300.20","4,961.57","4,968.58","5,140.08","4,764.41","5,326.61","4,972.02","3,967.29"
Rate 1,$2.27 ,$2.13 ,$2.21 ,$2.23 ,$2.12 ,$2.09 ,$2.12 ,$1.93 ,$2.18 ,$2.11 ,$1.93 ,$1.93 ,$2.16 ,$2.02 ,$1.96 ,$2.00 ,$1.91 ,$1.93 ,$1.90 ,$1.91 ,$1.91 ,$1.91 ,$1.96 ,$1.98 ,$2.12 ,$2.11 ,$2.06 ,$2.08 ,$2.10 ,$2.26 ,$2.20 ,$2.31 ,$2.37 ,$2.35 ,$2.37 ,$2.46 ,$2.51 ,$2.52 ,$2.45 ,$2.50 ,$2.44 ,$2.39 ,$2.09 ,$2.12 ,$2.16 ,$2.20 ,$2.20 ,$2.18 
Total Pesos $1,"$11,090,778.20 ","$10,474,349.28 ","$11,809,381.19 ","$10,922,861.62 ","$11,650,365.28 ","$12,174,879.09 ","$12,272,865.99 ","$10,847,026.14 ","$12,047,913.18 ","$9,435,968.45 ","$9,314,180.01 ","$5,234,261.03 ","$10,845,639.43 ","$10,459,765.29 ","$11,877,919.21 ","$11,013,750.83 ","$10,888,560.72 ","$8,831,858.34 ","$9,207,997.69 ","$10,961,685.99 ","$10,280,232.57 ","$10,332,118.82 ","$8,886,641.42 ","$5,650,493.36 ","$10,453,758.46 ","$10,742,354.48 ","$10,553,900.07 ","$10,950,096.71 ","$9,890,247.13 ","$9,266,821.16 ","$10,719,959.56 ","$12,642,906.60 ","$12,046,521.24 ","$12,436,288.44 ","$11,783,681.12 ","$6,595,977.13 ","$12,304,027 ","$10,586,371 ","$11,061,302 ","$11,662,678 ","$10,492,488 ","$11,858,161 ","$10,384,335 ","$10,896,965 ","$10,291,115 ","$11,718,550 ","$10,938,438 ","$8,648,702.73 "
NG (MWHr),102.63,113.27,156.1,143.7,155.39,167.49,170.23,130.09,122.14,147.13,131.47,62.73,112.41,122.97,133.02,124.1,125.82,112.01,116.93,99.25,149.81,136.75,120.98,30.02,90.87,81.94,81.94,80.69,85.93,74.33,81.62,89.81,88.51,86.73,81.21,85.81,72.2,65.9,82.86,81.27,81.99,72.29,69.67,70.69,69.22,72.2,105.59,90.23
Rate 2,$515.00 ,$633.92 ,$472.22 ,$535.08 ,$650.94 ,$781.43 ,$590.11 ,$738.02 ,$763.00 ,$512.00 ,$454.38 ,$797.10 ,$433.18 ,$314.13 ,$273.90 ,$249.90 ,$256.64 ,$290.20 ,$301.45 ,$323.43 ,$313.91 ,$335.95 ,$336.94 ,$545.00 ,$368.94 ,$308.29 ,$250.96 ,$215.56 ,$252.66 ,$308.08 ,$335.97 ,$318.09 ,$286.94 ,$420.00 ,$420.00 ,$420.00 ,$523.65 ,$409.22 ,$410.22 ,$421.54 ,$372.92 ,$377.94 ,$341.73 ,$330.24 ,$328.70 ,$380.00 ,$340.00 ,$360.00 
Total Pesos $2,"$52,853.72 ","$71,806.63 ","$73,711.75 ","$76,890.90 ","$101,149.57 ","$130,881.87 ","$100,454.43 ","$96,009.02 ","$93,192.82 ","$75,329.30 ","$59,736.84 ","$50,001.21 ","$48,694.59 ","$38,627.81 ","$36,435.03 ","$31,013.30 ","$32,290.55 ","$32,505.30 ","$35,248.55 ","$32,101.43 ","$47,028.24 ","$45,940.97 ","$40,761.58 ","$16,361.92 ","$33,526.55 ","$25,261.24 ","$20,564.55 ","$17,394.10 ","$21,710.40 ","$22,898.65 ","$27,421.45 ","$28,567.66 ","$25,397.94 ","$36,426.19 ","$34,106.84 ","$36,040.68 ","$37,807.89 ","$26,966.94 ","$33,992.62 ","$34,260.48 ","$30,577.27 ","$27,322.68 ","$23,808.20 ","$23,343.88 ","$22,753.59 ","$27,434.22 ","$35,899.88 ","$32,482.66 "
Water (M3),2428,2429.1,2720,2401,2515,2367.57,2520,2793,2880,3038.66,2888.94,1777.8,2710,2710.69,2795.05,2631.5,2641,2375,2124,2539,2402.6,2641.21,2127.77,1290.91,2348.63,2736.34,2767.39,2773.43,2460.19,2460.19,2441.56,2602.46,2503.52,2732.11,2711.46,2034,2927.98,2761.28,2898.69,2898.03,2993.49,2806.24,2862.52,2738.09,2636.33,3065.58,2831.46,2909.44
Rate 3,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$25.53 ,$28.10 ,$28.10 ,$28.10 ,$28.10 ,$28.10 ,$28.10 ,$28.10 ,$28.12 ,$28.12 ,$28.12 ,$28.12 ,$28.12 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$29.73 ,$30.70 ,$30.70 ,$30.70 ,$30.70 ,$30.70 ,$30.70 ,$30.70 ,$30.70 ,$30.70 ,$30.70 ,$30.70 ,$30.70 
Total Pesos $3,"$61,986.84 ","$62,014.91 ","$69,441.60 ","$61,297.53 ","$64,207.95 ","$60,444.14 ","$64,335.66 ","$71,305.29 ","$73,526.40 ","$77,576.87 ","$73,754.73 ","$45,387.30 ","$76,151.00 ","$76,170.44 ","$78,540.79 ","$73,945.04 ","$74,212.10 ","$66,737.50 ","$59,684.40 ","$71,396.68 ","$67,561.07 ","$74,270.78 ","$59,832.77 ","$36,300.27 ","$69,824.86 ","$81,351.51 ","$82,274.39 ","$82,454.21 ","$73,141.49 ","$73,141.49 ","$72,587.53 ","$77,371.14 ","$74,429.66 ","$81,225.72 ","$80,611.68 ","$60,470.82 ","$89,888.92 ","$84,771.34 ","$88,989.84 ","$88,969.66 ","$91,900.06 ","$86,151.50 ","$87,879.26 ","$84,059.28 ","$80,935.34 ","$94,113.29 ","$86,925.94 ","$89,319.91 "
